Total # of Data,Pt,Au,Ru,Rh,Ir,Cu,Pd,IWI,WI,CI,SI,SGP,CP,HDP,UGC,SCT,FSP,ME,DP,Calc T (oC),Calc T. (hr),Al2O3,MgO,CeO2,TiO2,ZEO,MnO,Y2O3,ZrO2,HAP,ACC,Tb4O7,HfO2,La2O3,Co3O4,ThO2,SiO2,Fe2O3,Sm2O3,Gd2O3,Yb2O3,CaO,YSZ,Li,Ce,Co,Mg,Fe,Mn,Zr,K,Ni,Ca,Cs,V,Rb,Y,Na,La,Gd,Yb,Zn,Re,Ti,Cr,Ho,Nd,Tm,Sm,Er,Sr,Temperature (C),H2 vol.%,O2 vol.%,CO vol.%,H2O vol.%,CO2 vol.%,CH4 vol.%,TOS (min),F/W (mg.min/ml),Metal_Radius_Kittel,Metal_EN_Allen,Metal_Atomic_Num,Metal_T_melt,Metal_VE_Villars,Metal_Atomic_Wt,Metal_Group,Metal_Period,Metal_Density,Metal_T_boiling,Promo_Radius_Kittel,Promo_EN_Allen,Promo_Atomic_Num,Promo_T_melt,Promo_VE_Villars,Promo_Atomic_Wt,Promo_Group,Promo_Period,Promo_Density,Promo_T_boiling,CO_Conversion
21,0.0,4.3968560901733795,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,25,0,0.0,0.0,95.60314390982661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320,0,0,4.498,30.6,0,0,60,2,1.44,1.92,79.0,1337.58,11.0,196.966569,11.0,6.0,19.282,3129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.8
22,0.0,0.8749273686540919,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,25,0,0.0,0.0,99.12507263134592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350,0,0,4.498,30.6,0,0,60,2,1.44,1.92,79.0,1337.58,11.0,196.966569,11.0,6.0,19.282,3129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.1
23,0.0,2.631430994825468,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,25,0,0.0,0.0,97.36856900517455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350,0,0,4.498,30.6,0,0,60,2,1.44,1.92,79.0,1337.58,11.0,196.966569,11.0,6.0,19.282,3129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.3
24,0.0,4.3968560901733795,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,25,0,0.0,0.0,95.60314390982661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350,0,0,4.498,30.6,0,0,60,2,1.44,1.92,79.0,1337.58,11.0,196.966569,11.0,6.0,19.282,3129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.8
25,0.0,0.8749273686540919,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,25,0,0.0,0.0,99.12507263134592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200,0,0,4.498,30.6,0,0,60,2,1.44,1.92,79.0,1337.58,11.0,196.966569,11.0,6.0,19.282,3129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.7
26,0.0,0.8749273686540919,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,25,0,0.0,0.0,99.12507263134592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200,0,0,4.498,30.6,0,0,60,1.04,1.44,1.92,79.0,1337.58,11.0,196.966569,11.0,6.0,19.282,3129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.2
27,0.0,0.8749273686540919,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,25,0,0.0,0.0,99.12507263134592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200,0,0,4.498,30.6,0,0,60,0.69,1.44,1.92,79.0,1337.58,11.0,196.966569,11.0,6.0,19.282,3129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.1
28,0.0,0.8749273686540919,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,25,0,0.0,0.0,99.12507263134592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230,0,0,4.498,30.6,0,0,60,2,1.44,1.92,79.0,1337.58,11.0,196.966569,11.0,6.0,19.282,3129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.6
29,0.0,0.8749273686540919,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,25,0,0.0,0.0,99.12507263134592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230,0,0,4.498,30.6,0,0,60,1.04,1.44,1.92,79.0,1337.58,11.0,196.966569,11.0,6.0,19.282,3129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.6
30,0.0,0.8749273686540919,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,25,0,0.0,0.0,99.12507263134592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230,0,0,4.498,30.6,0,0,60,0.69,1.44,1.92,79.0,1337.58,11.0,196.966569,11.0,6.0,19.282,3129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.7
31,0.0,0.8749273686540919,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,25,0,0.0,0.0,99.12507263134592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260,0,0,4.498,30.6,0,0,60,2,1.44,1.92,79.0,1337.58,11.0,196.966569,11.0,6.0,19.282,3129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85
32,0.0,0.8749273686540919,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,25,0,0.0,0.0,99.12507263134592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260,0,0,4.498,30.6,0,0,60,1.04,1.44,1.92,79.0,1337.58,11.0,196.966569,11.0,6.0,19.282,3129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.5
